id,noise_type,noise_level,prompt_in,gold,pred,correct
8,emoji,severe,What is the square📌 root of 64?,8,Unknown,0
9,emoji,severe,What gas do plants🎯 💡absorb from the atmosphere?,Carbon dioxide,Unknown,0
10,emoji,severe,What is 📊the hardest natural substance?📊,Diamond,Unknown,0
11,emoji,severe,What is the currency of📊 Japan?,Yen,Unknown,0
12,emoji,severe,What planet is🎯 known as the✨ 📝Red Planet?,Mars,Unknown,0
13,emoji,severe,What is 📋12 ×🔍 5?,60,Unknown,0
14,emoji,severe,What is📋 the💭 longest river in the world?,Nile River,Unknown,0
15,emoji,severe,💡What element has the atomic number 1?,Hydrogen,Unknown,0
16,emoji,severe,What is the capital of Australia?,Canberra,Canberra,1
17,emoji,severe,What is 100 ÷ 4?📝,25,Unknown,0
18,emoji,severe,What organ pumps blood 📋through the body?,Heart,Unknown,0
19,emoji,severe,What ✨is the fastest land animal?💭,Cheetah,Unknown,0
20,emoji,severe,What is H2O 📊commonly known💡 as?,Water,Unknown,0
21,emoji,severe,What✨ is 9²?,81,Unknown,0
22,emoji,severe,What country is famous✨ for the pyramids?,Egypt,Unknown,0
23,emoji,severe,What is 📝the boiling point🔍 of💭 water in📋 Celsius?,100,Unknown,0
24,emoji,severe,What gas makes up most 🎯of Earth's🔤 atmosphere?,Nitrogen,Unknown,0
25,emoji,severe,What is the capital📋 of 📝Canada?,Ottawa,Unknown,0
26,emoji,severe,What is 15 📝- 7?,8,Unknown,0
27,emoji,severe,What force 📌keeps us on the ground?,Gravity,Unknown,0
28,emoji,severe,What is 📝the largest mammal?,Blue whale,Unknown,0
29,emoji,severe,What 💭metal is liquid at room temperature?,Mercury,Unknown,0
30,emoji,severe,What is the capital of Italy?,Rome,Rome,1
31,emoji,severe,What is 6📝 × 9?,54,Unknown,0
32,emoji,severe,What do ✨bees make?,Honey,Unknown,0
33,emoji,severe,What is 📌the study of earthquakes 📋called?,Seismology,Unknown,0
34,emoji,severe,What vitamin is📌 produced by skin in sunlight?📋,Vitamin D,Unknown,0
35,emoji,severe,What 🔍is the capital of Germany?,Berlin,Unknown,0
36,emoji,severe,What is💡 144 ÷ 12?,12,Unknown,0
37,emoji,severe,What gas do 📌we breathe in to🎯 live?✨,Oxygen,Unknown,0
38,emoji,severe,What 💡is the smallest country in the world?,Vatican City,Unknown,0
39,emoji,severe,What temperature does water freeze ✨at in Fahrenheit?,32,Unknown,0
40,emoji,severe,What is the capital of💡 Spain?,Madrid,Unknown,0
41,emoji,severe,What is 8 +📊 7?,15,Unknown,0
42,emoji,severe,What animal is known as the king 📝of the jungle?,Lion,Unknown,0
43,emoji,severe,What is the main ingredient in glass?,Silicon dioxide,Silicon dioxide,1
44,emoji,severe,📝What planet📋 is closest to the sun?,Mercury,Unknown,0
45,emoji,severe,What is the capital of the🔍 United💡 Kingdom?,London,Unknown,0
46,emoji,severe,What is 20% of 50?,10,10,1
47,emoji,severe,What do caterpillars turn into?,Butterflies,Butterflies,1
48,emoji,severe,What is🎯 the speed of light approximately?,"300,000 km/s",Unknown,0
49,emoji,severe,What is the largest organ in the🔤 human body?,Skin,Skin,1
